correct	gold	prediction
False	<a_4><b_10><c_0><d_1>	<a_6><b_27><c_31>
False	<a_20><b_22><c_10><d_0>	<a_10><b_14><c_28><d_1>
False	<a_14><b_2><c_11><d_3>	<a_22><b_20><c_26><d_1>
False	<a_20><b_22><c_10><d_1>	<a_13><b_19><c_26>
False	<a_2><b_26><c_9>	<a_3><b_10><c_25>
False	<a_29><b_1><c_20><d_1>	<a_28><b_27><c_15>
True	<a_13><b_4><c_25>	<a_13><b_4><c_25>
False	<a_1><b_8><c_11>	<a_3><b_31><c_9>
True	<a_11><b_11><c_12>	<a_11><b_11><c_12>
False	<a_20><b_22><c_10><d_1>	<a_17><b_27><c_29>
True	<a_28><b_12><c_13>	<a_28><b_12><c_13>
False	<a_22><b_2><c_7>	<a_22><b_2><c_29><d_1>
True	<a_27><b_17><c_15><d_2>	<a_27><b_17><c_15><d_2>
False	<a_28><b_2><c_23>	<a_9><b_11><c_22><d_0>
True	<a_27><b_17><c_3>	<a_27><b_17><c_3>
True	<a_18><b_5><c_12>	<a_18><b_5><c_12>
False	<a_11><b_8><c_3>	<a_24><b_20><c_7>
False	<a_2><b_4><c_31>	<a_1><b_1><c_15>
True	<a_17><b_6><c_27>	<a_17><b_6><c_27>
False	<a_22><b_12><c_4>	<a_31><b_7><c_3>
False	<a_3><b_27><c_21><d_0>	<a_6><b_25><c_14><d_0>
False	<a_22><b_21><c_21><d_1>	<a_11><b_7><c_8>
False	<a_6><b_0><c_29>	<a_2><b_28><c_19>
False	<a_31><b_4><c_21>	<a_1><b_26><c_20>
True	<a_11><b_0><c_7>	<a_11><b_0><c_7>
False	<a_1><b_0><c_29>	<a_1><b_1><c_11><d_0>
False	<a_29><b_17><c_14><d_1>	<a_7><b_20><c_7>
False	<a_28><b_9><c_21><d_1>	<a_1><b_1><c_21><d_2>
False	<a_5><b_27><c_23><d_0>	<a_5><b_1><c_22>
False	<a_1><b_13><c_16>	<a_18><b_1><c_29>
False	<a_18><b_29><c_16><d_0>	<a_9><b_9><c_14><d_0>
False	<a_22><b_0><c_7>	<a_17><b_17><c_3>
False	<a_3><b_12><c_12>	<a_12><b_15><c_7>
False	<a_21><b_8><c_16><d_0>	<a_20><b_28><c_19>
True	<a_1><b_29><c_15>	<a_1><b_29><c_15>
False	<a_20><b_28><c_24>	<a_3><b_25><c_27>
False	<a_1><b_25><c_20><d_1>	<a_21><b_10><c_26><d_1>
False	<a_22><b_2><c_4><d_1>	<a_16><b_2><c_29>
False	<a_0><b_18><c_25>	<a_14><b_30><c_13>
True	<a_11><b_9><c_29>	<a_11><b_9><c_29>
False	<a_20><b_22><c_10><d_0>	<a_1><b_25><c_15><d_0>
True	<a_27><b_1><c_26><d_2>	<a_27><b_1><c_26><d_2>
False	<a_0><b_25><c_8>	<a_23><b_25><c_22>
True	<a_21><b_19><c_31>	<a_21><b_19><c_31>
False	<a_14><b_12><c_3>	<a_20><b_22><c_10><d_0>
False	<a_23><b_9><c_7><d_0>	<a_10><b_3><c_8>
True	<a_6><b_18><c_20>	<a_6><b_18><c_20>
True	<a_26><b_7><c_7>	<a_26><b_7><c_7>
True	<a_12><b_26><c_3><d_0>	<a_12><b_26><c_3><d_0>
False	<a_30><b_14><c_19>	<a_3><b_27><c_23>
False	<a_9><b_7><c_26><d_0>	<a_9><b_17><c_17>
True	<a_19><b_18><c_17><d_1>	<a_19><b_18><c_17><d_1>
True	<a_1><b_15><c_20>	<a_1><b_15><c_20>
True	<a_14><b_25><c_6><d_0>	<a_14><b_25><c_6><d_0>
False	<a_25><b_5><c_10>	<a_3><b_17><c_31>
True	<a_23><b_25><c_22><d_0>	<a_23><b_25><c_22><d_0>
False	<a_28><b_2><c_8><d_1>	<a_9><b_9><c_16>
True	<a_22><b_27><c_4><d_12>	<a_22><b_27><c_4><d_12>
False	<a_14><b_13><c_22><d_1>	<a_1><b_7><c_3>
False	<a_23><b_20><c_27>	<a_12><b_0><c_21><d_1>
False	<a_30><b_14><c_19>	<a_10><b_14><c_10>
False	<a_17><b_2><c_23>	<a_17><b_1><c_25>
True	<a_28><b_13><c_29>	<a_28><b_13><c_29>
False	<a_30><b_30><c_28><d_2>	<a_1><b_17><c_15>
False	<a_16><b_9><c_31>	<a_14><b_14><c_31>
False	<a_20><b_22><c_10><d_1>	<a_20><b_28><c_24>
True	<a_23><b_11><c_22>	<a_23><b_11><c_22>
False	<a_20><b_22><c_10><d_0>	<a_22><b_2><c_11>
True	<a_16><b_31><c_27><d_1>	<a_16><b_31><c_27><d_1>
False	<a_0><b_12><c_1>	<a_14><b_5><c_4><d_2>
True	<a_3><b_26><c_27>	<a_3><b_26><c_27>
False	<a_29><b_24><c_17>	<a_6><b_7><c_16>
False	<a_20><b_28><c_19>	<a_22><b_27><c_3><d_1>
False	<a_20><b_22><c_10><d_1>	<a_8><b_10><c_21>
True	<a_18><b_24><c_21>	<a_18><b_24><c_21>
False	<a_3><b_18><c_16>	<a_24><b_23><c_26>
True	<a_23><b_30><c_12>	<a_23><b_30><c_12>
False	<a_27><b_20><c_22>	<a_23><b_23><c_9>
False	<a_28><b_5><c_14>	<a_14><b_29><c_7><d_1>
True	<a_15><b_26><c_17>	<a_15><b_26><c_17>
True	<a_1><b_17><c_8><d_1>	<a_1><b_17><c_8><d_1>
True	<a_15><b_2><c_15><d_2>	<a_15><b_2><c_15><d_2>
True	<a_23><b_6><c_26><d_1>	<a_23><b_6><c_26><d_1>
False	<a_8><b_7><c_12>	<a_19><b_27><c_9>
False	<a_0><b_31><c_12>	<a_31><b_2><c_4>
False	<a_22><b_19><c_22><d_2>	<a_10><b_21><c_11>
False	<a_23><b_17><c_29>	<a_14><b_0><c_31><d_1>
False	<a_14><b_24><c_15>	<a_14><b_15><c_7><d_0>
False	<a_0><b_2><c_14>	<a_2><b_20><c_26>
False	<a_14><b_30><c_26>	<a_15><b_2><c_3><d_0>
False	<a_18><b_3><c_16><d_0>	<a_20><b_22><c_10><d_1>
False	<a_22><b_25><c_12><d_1>	<a_10><b_14><c_31>
True	<a_12><b_11><c_7>	<a_12><b_11><c_7>
False	<a_20><b_16><c_30>	<a_22><b_20><c_9>
False	<a_2><b_9><c_23>	<a_0><b_13><c_13>
True	<a_26><b_0><c_7><d_1>	<a_26><b_0><c_7><d_1>
True	<a_22><b_12><c_8>	<a_22><b_12><c_8>
False	<a_3><b_25><c_23>	<a_1><b_20><c_25>
False	<a_6><b_2><c_8>	<a_10><b_16><c_5>
False	<a_1><b_17><c_15>	<a_1><b_8><c_11>
False	<a_28><b_12><c_25><d_0>	<a_9><b_17><c_22>
False	<a_18><b_29><c_29>	<a_14><b_30><c_7>
False	<a_14><b_12><c_29><d_0>	<a_22><b_9><c_12><d_0>
True	<a_10><b_13><c_21>	<a_10><b_13><c_21>
True	<a_31><b_25><c_14>	<a_31><b_25><c_14>
True	<a_30><b_14><c_0><d_0>	<a_30><b_14><c_0><d_0>
True	<a_18><b_8><c_27>	<a_18><b_8><c_27>
False	<a_22><b_19><c_23><d_0>	<a_17><b_25><c_7><d_1>
False	<a_8><b_20><c_9><d_1>	<a_28><b_10><c_29><d_3>
True	<a_8><b_23><c_8>	<a_8><b_23><c_8>
False	<a_12><b_28><c_18>	<a_3><b_25><c_3><d_0>
True	<a_11><b_12><c_26>	<a_11><b_12><c_26>
False	<a_29><b_10><c_25>	<a_14><b_10><c_4><d_0>
False	<a_14><b_19><c_20>	<a_12><b_9><c_22>
False	<a_18><b_2><c_4><d_3>	<a_21><b_0><c_7>
False	<a_4><b_10><c_0><d_0>	<a_8><b_31><c_29><d_1>
False	<a_9><b_20><c_3>	<a_9><b_15><c_4>
True	<a_14><b_26><c_22><d_1>	<a_14><b_26><c_22><d_1>
False	<a_10><b_6><c_21><d_0>	<a_23><b_6><c_8>
False	<a_21><b_8><c_16><d_1>	<a_14><b_18><c_3><d_2>
False	<a_9><b_1><c_20><d_0>	<a_23><b_25><c_23>
False	<a_0><b_29><c_20>	<a_24><b_24><c_21>
True	<a_23><b_29><c_31>	<a_23><b_29><c_31>
False	<a_24><b_8><c_22>	<a_20><b_28><c_19>
False	<a_3><b_18><c_31>	<a_10><b_22><c_3>
False	<a_18><b_0><c_21>	<a_31><b_15><c_7><d_0>
False	<a_22><b_9><c_7>	<a_26><b_30><c_16>
True	<a_9><b_15><c_22>	<a_9><b_15><c_22>
True	<a_18><b_8><c_26><d_0>	<a_18><b_8><c_26><d_0>
False	<a_20><b_22><c_10><d_1>	<a_31><b_27><c_31><d_2>
False	<a_5><b_7><c_17><d_1>	<a_20><b_4><c_5>
True	<a_18><b_30><c_22>	<a_18><b_30><c_22>
False	<a_5><b_30><c_8><d_1>	<a_2><b_20><c_27><d_1>
False	<a_25><b_8><c_6>	<a_20><b_28><c_19>
False	<a_22><b_25><c_12><d_1>	<a_20><b_22><c_10><d_1>
False	<a_7><b_18><c_12><d_0>	<a_17><b_27><c_15><d_0>
True	<a_1><b_24><c_15><d_0>	<a_1><b_24><c_15><d_0>
False	<a_24><b_27><c_31><d_1>	<a_24><b_27><c_17><d_3>
True	<a_15><b_9><c_9><d_0>	<a_15><b_9><c_9><d_0>
True	<a_27><b_10><c_3><d_1>	<a_27><b_10><c_3><d_1>
True	<a_1><b_31><c_16>	<a_1><b_31><c_16>
True	<a_15><b_25><c_7><d_1>	<a_15><b_25><c_7><d_1>
False	<a_20><b_22><c_10><d_0>	<a_28><b_13><c_16><d_0>
False	<a_6><b_15><c_4>	<a_10><b_28><c_24><d_1>
False	<a_10><b_7><c_26>	<a_18><b_26><c_13><d_1>
False	<a_1><b_5><c_4>	<a_18><b_3><c_6>
False	<a_19><b_25><c_17>	<a_21><b_30><c_11>
False	<a_7><b_27><c_7>	<a_3><b_18><c_14><d_1>
False	<a_0><b_4><c_13>	<a_14><b_25><c_4>
False	<a_28><b_3><c_7><d_0>	<a_17><b_13><c_15>
False	<a_5><b_3><c_23>	<a_5><b_18><c_6>
False	<a_20><b_14><c_19>	<a_28><b_7><c_11>
True	<a_8><b_27><c_11><d_0>	<a_8><b_27><c_11><d_0>
False	<a_22><b_21><c_4>	<a_3><b_7><c_27>
False	<a_22><b_20><c_26><d_0>	<a_21><b_10><c_26><d_1>
False	<a_29><b_17><c_3>	<a_6><b_30><c_9>
False	<a_3><b_25><c_25>	<a_0><b_9><c_1>
False	<a_20><b_22><c_10><d_1>	<a_1><b_15><c_17>
False	<a_8><b_15><c_31><d_1>	<a_17><b_25><c_29>
False	<a_22><b_27><c_26><d_0>	<a_22><b_27><c_4><d_0>
True	<a_9><b_5><c_12><d_0>	<a_9><b_5><c_12><d_0>
False	<a_6><b_12><c_9>	<a_10><b_31><c_6>
True	<a_3><b_1><c_15>	<a_3><b_1><c_15>
False	<a_22><b_25><c_12><d_1>	<a_22><b_9><c_4>
True	<a_27><b_18><c_8><d_1>	<a_27><b_18><c_8><d_1>
True	<a_22><b_21><c_21><d_0>	<a_22><b_21><c_21><d_0>
False	<a_28><b_12><c_17><d_1>	<a_3><b_15><c_26>
False	<a_17><b_17><c_13><d_1>	<a_14><b_0><c_9>
True	<a_5><b_30><c_8><d_0>	<a_5><b_30><c_8><d_0>
True	<a_21><b_19><c_15>	<a_21><b_19><c_15>
False	<a_3><b_18><c_3><d_1>	<a_3><b_18><c_3><d_2>
False	<a_18><b_13><c_21>	<a_31><b_15><c_26>
True	<a_19><b_2><c_23><d_0>	<a_19><b_2><c_23><d_0>
False	<a_18><b_5><c_11><d_1>	<a_25><b_17><c_17>
False	<a_28><b_25><c_17><d_0>	<a_9><b_0><c_7><d_1>
False	<a_7><b_24><c_29>	<a_22><b_20><c_20><d_0>
False	<a_19><b_9><c_26><d_0>	<a_22><b_1><c_31>
False	<a_18><b_31><c_22><d_1>	<a_18><b_25><c_7><d_1>
False	<a_22><b_12><c_22>	<a_27><b_31><c_14><d_0>
True	<a_27><b_6><c_7><d_0>	<a_27><b_6><c_7><d_0>
True	<a_13><b_23><c_17>	<a_13><b_23><c_17>
True	<a_6><b_21><c_8>	<a_6><b_21><c_8>
False	<a_21><b_7><c_21>	<a_1><b_24><c_21>
True	<a_11><b_15><c_0>	<a_11><b_15><c_0>
False	<a_31><b_13><c_12>	<a_23><b_7><c_26><d_1>
True	<a_8><b_25><c_20>	<a_8><b_25><c_20>
True	<a_5><b_9><c_4>	<a_5><b_9><c_4>
False	<a_27><b_19><c_31>	<a_27><b_27><c_12><d_1>
False	<a_28><b_21><c_12>	<a_9><b_27><c_17><d_0>
False	<a_14><b_30><c_13>	<a_13><b_23><c_17>
False	<a_22><b_10><c_12>	<a_9><b_19><c_23><d_0>
False	<a_25><b_29><c_16><d_0>	<a_2><b_18><c_20>
False	<a_21><b_23><c_28>	<a_0><b_15><c_3><d_0>
False	<a_8><b_11><c_23>	<a_2><b_8><c_16>
False	<a_18><b_10><c_7>	<a_16><b_27><c_12>
True	<a_26><b_7><c_26>	<a_26><b_7><c_26>
False	<a_21><b_8><c_14>	<a_18><b_1><c_21><d_4>
False	<a_5><b_12><c_31><d_0>	<a_3><b_29><c_22>
False	<a_9><b_20><c_12><d_1>	<a_5><b_12><c_29><d_1>
False	<a_1><b_6><c_17>	<a_23><b_19><c_16><d_0>
False	<a_24><b_6><c_31><d_1>	<a_6><b_4><c_25><d_0>
False	<a_28><b_27><c_22><d_1>	<a_30><b_30><c_28><d_2>
False	<a_1><b_7><c_8>	<a_22><b_3><c_8><d_1>
False	<a_27><b_5><c_3>	<a_27><b_2><c_29><d_1>
False	<a_14><b_1><c_22><d_0>	<a_23><b_6><c_4><d_1>
False	<a_25><b_5><c_10>	<a_20><b_28><c_24>
False	<a_0><b_5><c_16><d_2>	<a_21><b_24><c_4>
False	<a_20><b_22><c_10><d_1>	<a_18><b_1><c_21><d_0>
False	<a_14><b_7><c_16><d_1>	<a_22><b_15><c_22>
True	<a_11><b_24><c_0><d_1>	<a_11><b_24><c_0><d_1>
False	<a_14><b_17><c_23><d_1>	<a_7><b_12><c_20>
True	<a_14><b_30><c_4>	<a_14><b_30><c_4>
False	<a_13><b_15><c_3>	<a_2><b_18><c_30>
True	<a_10><b_14><c_28><d_0>	<a_10><b_14><c_28><d_0>
False	<a_25><b_31><c_8>	<a_21><b_29><c_1><d_1>
False	<a_27><b_7><c_1>	<a_17><b_11><c_11>
True	<a_24><b_18><c_7>	<a_24><b_18><c_7>
True	<a_23><b_10><c_15>	<a_23><b_10><c_15>
False	<a_20><b_22><c_10><d_1>	<a_10><b_7><c_26>
True	<a_10><b_1><c_13>	<a_10><b_1><c_13>
False	<a_7><b_11><c_12><d_0>	<a_22><b_29><c_11>
False	<a_31><b_11><c_20><d_1>	<a_0><b_19><c_11>
True	<a_3><b_25><c_25>	<a_3><b_25><c_25>
True	<a_5><b_18><c_15>	<a_5><b_18><c_15>
True	<a_19><b_0><c_16>	<a_19><b_0><c_16>
False	<a_27><b_10><c_3><d_2>	<a_27><b_12><c_23>
False	<a_14><b_29><c_21>	<a_18><b_24><c_22>
False	<a_14><b_12><c_4><d_1>	<a_19><b_20><c_4>
False	<a_4><b_20><c_14>	<a_0><b_29><c_14>
True	<a_30><b_3><c_6>	<a_30><b_3><c_6>
True	<a_12><b_7><c_25><d_0>	<a_12><b_7><c_25><d_0>
False	<a_17><b_27><c_22><d_0>	<a_17><b_31><c_16>
False	<a_14><b_17><c_7><d_2>	<a_8><b_12><c_22>
False	<a_20><b_22><c_10><d_0>	<a_15><b_26><c_22><d_0>
True	<a_1><b_25><c_20><d_0>	<a_1><b_25><c_20><d_0>
False	<a_31><b_1><c_3>	<a_9><b_12><c_15>
False	<a_0><b_19><c_11>	<a_5><b_11><c_14>
True	<a_1><b_13><c_4><d_1>	<a_1><b_13><c_4><d_1>
False	<a_29><b_27><c_22><d_1>	<a_5><b_29><c_26>
True	<a_27><b_27><c_11>	<a_27><b_27><c_11>
False	<a_20><b_14><c_5>	<a_10><b_3><c_17>
True	<a_5><b_15><c_17>	<a_5><b_15><c_17>
True	<a_2><b_8><c_0>	<a_2><b_8><c_0>
False	<a_7><b_0><c_15>	<a_6><b_1><c_12>
True	<a_17><b_27><c_20><d_0>	<a_17><b_27><c_20><d_0>
False	<a_3><b_20><c_15>	<a_3><b_18><c_11>
False	<a_14><b_24><c_4><d_1>	<a_21><b_12><c_7>
True	<a_26><b_6><c_13><d_0>	<a_26><b_6><c_13><d_0>
True	<a_26><b_19><c_15><d_0>	<a_26><b_19><c_15><d_0>
False	<a_11><b_31><c_0>	<a_31><b_27><c_14>
True	<a_20><b_28><c_19>	<a_20><b_28><c_19>
True	<a_12><b_17><c_31><d_1>	<a_12><b_17><c_31><d_1>
False	<a_1><b_17><c_3>	<a_28><b_25><c_20>
False	<a_22><b_12><c_20><d_2>	<a_21><b_2><c_17>
True	<a_6><b_30><c_29>	<a_6><b_30><c_29>
False	<a_20><b_22><c_10><d_1>	<a_0><b_12><c_7>
True	<a_20><b_28><c_19>	<a_20><b_28><c_19>
False	<a_23><b_18><c_21>	<a_10><b_0><c_8><d_0>
False	<a_20><b_28><c_24>	<a_20><b_28><c_19>
False	<a_29><b_3><c_12>	<a_14><b_24><c_26>
False	<a_2><b_30><c_22>	<a_4><b_27><c_3><d_0>
True	<a_31><b_27><c_20><d_2>	<a_31><b_27><c_20><d_2>
True	<a_12><b_15><c_6>	<a_12><b_15><c_6>
False	<a_24><b_18><c_20>	<a_1><b_12><c_29>
True	<a_19><b_12><c_29><d_0>	<a_19><b_12><c_29><d_0>
False	<a_14><b_12><c_14><d_0>	<a_11><b_2><c_11>
False	<a_22><b_25><c_12><d_1>	<a_25><b_27><c_31>
False	<a_29><b_7><c_14><d_0>	<a_29><b_17><c_7><d_5>
False	<a_11><b_23><c_0>	<a_22><b_24><c_22><d_1>
False	<a_20><b_22><c_10><d_1>	<a_22><b_27><c_16><d_5>
False	<a_2><b_10><c_23>	<a_4><b_19><c_26>
True	<a_15><b_5><c_23>	<a_15><b_5><c_23>
True	<a_31><b_20><c_25>	<a_31><b_20><c_25>
False	<a_9><b_12><c_16><d_1>	<a_21><b_2><c_1><d_1>
False	<a_20><b_16><c_30>	<a_6><b_2><c_7>
False	<a_25><b_10><c_6>	<a_0><b_21><c_10>
False	<a_4><b_13><c_1>	<a_8><b_22><c_25>
True	<a_15><b_15><c_31><d_1>	<a_15><b_15><c_31><d_1>
True	<a_6><b_25><c_21>	<a_6><b_25><c_21>
False	<a_14><b_12><c_3>	<a_3><b_10><c_27><d_1>
False	<a_28><b_5><c_4>	<a_20><b_22><c_10><d_0>
True	<a_13><b_18><c_26><d_0>	<a_13><b_18><c_26><d_0>
False	<a_0><b_12><c_20>	<a_28><b_3><c_7><d_0>
True	<a_7><b_26><c_20><d_1>	<a_7><b_26><c_20><d_1>
False	<a_21><b_8><c_10><d_0>	<a_10><b_3><c_23>
True	<a_24><b_24><c_3>	<a_24><b_24><c_3>
True	<a_26><b_31><c_14><d_0>	<a_26><b_31><c_14><d_0>
False	<a_4><b_17><c_3>	<a_2><b_8><c_16>
False	<a_2><b_25><c_25>	<a_0><b_25><c_29>
False	<a_13><b_6><c_13><d_1>	<a_8><b_31><c_16><d_0>
False	<a_14><b_17><c_8><d_1>	<a_20><b_14><c_19>
